4517, Екатеринбург
4720, Барнаул
4848, Благовещенск
3915, Архангельск
5130, Астрахань
5039, Белгород
4258, Брянск
4350, Владимир
5089, Волгоград
4278, Вологда
5026, Воронеж
4860, Биробиджан
4797, Чита
4318, Иваново
4787, Иркутск
5250, Нальчик
4225, Калининград
4387, Калуга
4907, Петропавловск-камчатский
5224, Черкесск
4693, Кемерово
4292, Киров
4314, Кострома
5136, Краснодар
4569, Курган
5010, Курск
4437, Липецк
4063, Магадан
4368, Москва
3903, Мурманск
3959, Нарьян-Мар
4355, Нижний Новгород
4090, Великий Новгород
4690, Новосибирск
4578, Омск
5159, Оренбург
4432, Орел
4445, Пенза
4476, Пермь
4877, Владивосток
4114, Псков
5218, Майкоп
5180, Горно-алтайск
4588, Уфа
4804, Улан-уде
5270, Махачкала
11932, Назрань
5127, Элиста
3934, Петрозаводск
3989, Сыктывкар
4995, Симферополь
11975, Йошкар-ола
4401, Саранск
4039, Якутск
5254, Владикавказ
4364, Казань
5189, Кызыл
4723, Абакан
5110, Ростов-на-дону
4394, Рязань
4618, Самара
4079, Санкт-Петербург
5032, Саратов
4894, Южно-Сахалинск
5003, Севастополь
4239, Смоленск
5141, Ставрополь
4440, Тамбов
4327, Тверь
4652, Томск
4392, Тула
4501, Тюмень
4508, Ижевск
4407, Ульяновск
4862, Хабаровск
4003, Ханты-мансийск
4565, Челябинск
5256, Грозный
4361, Чебоксары
4054, Анадырь
3964, Салехард
4313, Ярославль
